,amplified_input_pool_2_s41_r1_001,amplified_input_pool_3_s42_r1_001,male_blast_1_brain_brainstem_s59_r1_001,male_blast_1_brain_cerebellum_s58_r1_001,male_blast_1_brain_ctx_s57_r1_001,male_blast_1_liver_s61_r1_001,male_blast_1_lung_s60_r1_001,male_blast_2_brain_brainstem_s64_r1_001,male_blast_2_brain_cerebellum_s63_r1_001,male_blast_2_brain_ctx_s62_r1_001,male_blast_2_liver_s50_r1_001,male_blast_2_lung_s49_r1_001,male_blast_3_brain_brainstem_s53_r1_001,male_blast_3_brain_cerebellum_s52_r1_001,male_blast_3_brain_ctx_s51_r1_001,male_blast_3_liver_s55_r1_001,male_blast_3_lung_s54_r1_001,play_off_starting_pool_1_s43_r1_001,play_off_starting_pool_2_s44_r1_001,play_off_starting_pool_3_s45_r1_001,amplified_input_pool_1_s56_r1_001,male_ctrl_1_brain_brainstem_s26_r1_001,male_ctrl_1_brain_cerebellum_s25_r1_001,male_ctrl_1_brain_ctx_s40_r1_001,male_ctrl_1_liver_s28_r1_001,male_ctrl_1_lung_s27_r1_001,male_ctrl_2_brain_brainstem_s32_r1_001,male_ctrl_2_brain_cerebellum_s31_r1_001,male_ctrl_2_brain_ctx_s30_r1_001,male_ctrl_2_liver_s18_r1_001,male_ctrl_2_lung_s17_r1_001,male_ctrl_3_brain_brainstem_s22_r1_001,male_ctrl_3_brain_cerebellum_s21_r1_001,male_ctrl_3_brain_ctx_s20_r1_001,male_ctrl_3_liver_s24_r1_001,male_ctrl_3_lung_s23_r1_001,female_blast_2_brain_brainstem_s48_r1_001,female_blast_2_brain_cerebellum_s47_r1_001,female_blast_2_brain_ctx_s46_r1_001,female_blast_2_liver_s34_r1_001,female_blast_2_lung_s33_r1_001,female_blast_3_brain_brainstem_s37_r1_001,female_blast_3_brain_cerebellum_s36_r1_001,female_blast_3_brain_ctx_s35_r1_001,female_blast_3_liver_s39_r1_001,female_blast_3_lung_s38_r1_001,female_ctrl_2_brain_brainstem_s1_r1_001,female_ctrl_2_brain_cerebellum_s16_r1_001,female_ctrl_2_brain_ctx_s15_r1_001,female_ctrl_2_liver_s3_r1_001,female_ctrl_2_lung_s2_r1_001,female_ctrl_3_brain_brainstem_s6_r1_001,female_ctrl_3_brain_cerebellum_s5_r1_001,female_ctrl_3_brain_ctx_s4_r1_001,female_ctrl_3_liver_s8_r1_001,female_ctrl_3_lung_s7_r1_001,amp_speed_ratio,brand_name
38,8320,8444,1908,1711,1123,5802,323,1304,859,290,5969,979,1652,3034,2687,6716,647,9278,9647,9597,8668,2174,2112,1663,7590,6929,1351,1075,1212,6220,1394,96,399,282,893,5790,5156,3955,4195,6671,987,1664,1704,2173,1122,407,882,1168,641,6491,177,1446,348,1200,5701,252,1,Mtfpep
39,7916,7516,2448,2762,2491,7685,538,2079,1157,1348,8081,3340,1537,1621,3637,8002,1841,9063,9304,9241,7530,5236,8340,7118,8779,7817,1672,3701,3141,8440,2333,1030,2295,1107,1873,6088,5215,4622,4761,7770,1445,3049,2853,4652,1487,843,3950,14390,3931,7705,701,2447,1004,2531,7335,703,1,#2077
40,7495,8117,6746,8854,7869,7642,1067,5063,2868,3327,7069,5166,5849,9941,10193,6846,2167,8550,8612,8727,7627,6717,7170,7333,7329,7496,3628,3831,3650,6660,7149,1023,2071,368,2263,6792,6707,4575,6089,6780,1504,3669,4719,6066,3194,952,3230,2742,4065,5278,800,3890,1173,4604,4731,666,1,gH625
41,7408,7841,2519,2310,1923,4889,331,2477,2071,1786,5164,2520,3436,5330,6128,5306,958,9959,10057,10049,7568,2825,2578,3095,5358,5704,878,1470,1319,4462,1596,485,750,642,1295,3715,3187,3923,4671,3996,794,2326,2185,3237,1397,387,800,494,782,3236,269,1462,505,1088,2733,166,1,anit-KIM-1 
42,7350,7386,2607,1329,1347,17559,1007,1192,2410,1456,17784,3149,1716,1771,2390,19852,1907,10449,10646,10685,7643,1827,2212,2235,19327,19073,3694,1650,1877,18817,2022,197,808,829,1580,13290,2464,2257,1934,14946,1112,1688,1826,2218,2053,855,2538,5131,2778,14226,752,1486,926,1868,13769,562,1,CSG
43,7225,6732,4198,3575,3033,7377,828,3881,3888,2621,7414,3875,3547,3146,3752,7220,2162,8160,8478,8539,6965,4341,5864,6594,7203,5801,1703,3278,2205,6606,4127,771,3672,1351,1736,3915,5154,4881,3957,6918,1348,2611,2931,4450,2036,801,4112,4128,3632,5405,662,3952,935,3025,6162,753,1,CAQK
44,7045,6895,7396,5436,4831,7840,736,2758,3593,2580,7028,2617,3598,5455,6081,7749,1173,13079,13374,13567,7271,3921,4938,5163,7033,5842,1829,2046,1786,5946,996,1077,952,684,1293,3983,3134,2596,2796,5086,766,1897,2270,2922,1491,638,1530,1545,1060,3952,352,768,722,788,3979,231,1,CLT-1
45,6878,6805,95119,92170,107408,31423,4465,229962,238316,270338,39207,15915,135702,91817,71267,40259,15141,37294,38447,38603,6870,114410,90534,102948,41019,43955,262112,275840,284571,37509,52436,251860,250201,281800,6299,39878,122560,163766,130467,41344,4089,191202,220051,149031,9087,5505,126171,67056,123451,32739,2516,68447,7414,34402,31264,1596,0,BrainVader
46,6393,6572,3000,2943,2052,51658,3988,1979,1347,2190,67628,13334,1130,1264,1684,57272,8435,20945,21616,21519,7095,612,1524,1478,51979,59210,4289,1215,1357,65667,5492,3343,2881,1056,5754,92080,3875,1961,2928,67754,4415,2799,2616,4149,5713,1829,10588,3219,8928,91625,3029,5515,2775,5437,88058,5269,0,PL1
47,5860,5516,3979,3386,3372,5600,927,2007,2124,1790,5667,3545,2790,4045,3576,5557,1927,5839,6046,6070,5396,5202,4616,4052,5924,4676,2569,4468,2700,5350,3049,636,1461,192,1435,3206,1326,1691,1902,5691,719,1970,2006,2042,1930,826,2709,2220,3052,4411,562,1723,982,1631,5227,511,1,CREKA
